gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.3-1
gufw 22.04-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-dlna 0.12.0-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gzip 1.12-1
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
haskell-aeson 1.5.6.0-131
haskell-aeson-pretty 0.8.9-82
haskell-ansi-terminal 0.11.3-17
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-186
haskell-asn1-parse 0.9.5-186
haskell-asn1-types 0.3.4-165
haskell-assoc 1.0.2-155
haskell-async 2.2.4-102
haskell-attoparsec 0.14.4-32
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-2
haskell-base-orphans 0.8.7-9
haskell-base16-bytestring 1.0.2.0-38
haskell-base64-bytestring 1.2.1.0-60
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.12-19
haskell-bitvec 1.1.3.0-1
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-182
haskell-blaze-markup 0.8.2.8-88
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-161
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.7-18
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-126
haskell-commonmark 0.2.2-12
haskell-commonmark-extensions 0.2.3.2-10
haskell-commonmark-pandoc 0.2.1.2-72
haskell-comonad 5.0.8-158
haskell-conduit 1.3.4.2-79
haskell-conduit-extra 1.3.6-20
haskell-connection 0.3.1-214
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-29
haskell-data-default 0.7.1.1-245
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-258
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-60
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-161
haskell-dlist 1.0-180
haskell-doclayout 0.4-9
haskell-doctemplates 0.10.0.2-11
haskell-emojis 0.1.2-32
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-65
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-48
haskell-haddock-library 1.10.0-163
haskell-hashable 1.4.1.0-9
haskell-hourglass 0.2.12-204
haskell-hslua 2.2.0-21
haskell-hslua-aeson 2.2.0.1-11
haskell-hslua-classes 2.2.0-17
haskell-hslua-core 2.2.1-11
haskell-hslua-marshalling 2.2.1-5
haskell-hslua-module-doclayout 1.0.4-44
haskell-hslua-module-path 1.0.3-3
haskell-hslua-module-system 1.0.2-4
haskell-hslua-module-text 1.0.2-6
haskell-hslua-module-version 1.0.2-3
haskell-hslua-objectorientation 2.2.1-1
haskell-hslua-packaging 2.2.0.1-12
haskell-hsyaml 0.2.1.1-16
haskell-http-client 0.7.13.1-4
haskell-http-client-tls 0.3.6.1-48
haskell-http-types 0.12.3-259
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-36
haskell-ipynb 0.2-41
haskell-jira-wiki-markup 1.4.0-71
haskell-juicypixels 3.3.7-28
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-243
haskell-lpeg 1.0.3-7
haskell-lua 2.2.1-8
haskell-memory 0.17.0-25
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-76
haskell-network 3.1.2.7-36
haskell-network-uri 2.6.4.1-94
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-lua-marshal 0.1.7-1
haskell-pandoc-types 1.22.2.1-2
haskell-pem 0.2.4-242
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-27
haskell-quickcheck 2.14.2-349
haskell-random 1.2.1.1-47
haskell-resourcet 1.2.6-8
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-71
haskell-sha 1.6.4.4-19
haskell-skylighting 0.12.3.1-17
haskell-skylighting-core 0.12.3.1-17
haskell-socks 0.6.1-190
haskell-split 0.2.3.5-4
haskell-splitmix 0.1.0.4-92
haskell-streaming-commons 0.2.2.4-32
haskell-strict 0.4.0.1-129
haskell-syb 0.7.2.1-161
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-184
haskell-temporary 1.3-452
haskell-texmath 0.12.5.2-8
haskell-text-conversions 0.3.1.1-19
haskell-text-icu 0.8.0.2-6
haskell-th-abstraction 0.4.4.0-1
haskell-th-compat 0.1.4-1
haskell-th-lift 0.8.2-12
haskell-th-lift-instances 0.1.20-2
haskell-these 1.1.1.1-156
haskell-time-compat 1.9.6.1-55
haskell-tls 1.6.0-12
haskell-transformers-compat 0.7.2-1
haskell-typed-process 0.2.10.1-12
haskell-unicode-collation 0.1.3.2-20
haskell-unicode-data 0.3.0-25
haskell-unicode-transforms 0.4.0.1-25
haskell-uniplate 1.6.13-146
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-30
haskell-utf8-string 1.0.2-108
haskell-uuid-types 1.0.5-75
haskell-vector 0.12.3.1-120
haskell-vector-algorithms 0.9.0.1-1
haskell-x509 1.7.7-15
haskell-x509-store 1.6.9-40
haskell-x509-system 1.6.7-43
haskell-x509-validation 1.6.12-45
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-134
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-51
haskell-zip-archive 0.4.2.1-28
haskell-zlib 0.6.3.0-18
haveged 1.9.18-1
hdf5 1.12.2-1
hdparm 9.64-1
heroic-games-launcher-bin 2.4.2-2
hexchat 2.16.1-2
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hiredis 1.0.2-1
hivex 1.3.21-7
hspell 1.4-4
htop 3.2.1-1
http-parser 2.9.4-1
httpfs2-2gbplus 0.1.5-1
hunspell 1.7.1-1
hwdata 0.361-1
hwloc 2.8.0-1
hyphen 2.8.8-4
hyphen-en 2.8.8-4
i2c-tools 4.3-3
i2pd 2.43.0-1
i3-wm 4.20.1-2
iana-etc 20220715-1
icu 71.1-1
iftop 1.0pre4-5
ijs 0.35-4
imagemagick 7.1.0.47-1
imath 3.1.5-2
imlib2 1.9.1-1
imv 4.3.1-5
inetutils 2.3-1
iniparser 4.1-4
inkscape 1.2.1-4
inotify-tools 3.22.6.0-1
insomnia-bin 2022.5.1-1
intel-ucode 20220809-1
intltool 0.51.0-6
iproute2 5.19.0-1
iptables 1:1.8.8-2
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
irssi 1.4.2-2
iso-codes 4.11.0-1
itstool 1:2.0.7-1
iw 5.19-1
jansson 2.14-2
